experiment,Date,Time,Months,Ring,Plot,Rep,Mesh,Trt,InitialMass.g,RemainingMass.g,propMassRem,propMassRem.trans
expt1,2014-06-16,12,13,R5,1,1,2mm,elevated,2.04,0.11,0.05392156862745098,0.23434936253466837
expt1,2014-06-16,12,13,R5,1,2,2mm,elevated,2.03,0.08,0.0394088669950739,0.199844233448252
expt1,2014-06-16,12,13,R5,2,1,2mm,elevated,2.02,0.03,0.01485148514851485,0.12217035371011403
expt1,2014-06-16,12,13,R5,2,2,2mm,elevated,2.01,0.19,0.09452736318407962,0.31251525002508534
expt1,2014-06-16,12,13,R5,3,1,2mm,elevated,2.07,0.34,0.16425120772946863,0.41728418594500183
expt1,2014-06-16,12,13,R5,3,2,2mm,elevated,2.03,0.11,0.054187192118226604,0.23493670076255127
expt1,2014-06-16,12,13,R5,4,1,2mm,elevated,2.1,0.01,0.0047619047619047615,0.06906144073393752
expt1,2014-06-16,12,13,R5,4,2,2mm,elevated,2.01,0.09,0.04477611940298508,0.2132155098254299
expt1,2014-06-16,12,13,R6,1,1,2mm,ambient,2.05,0.04,0.019512195121951223,0.14014435836697797
expt1,2014-06-16,12,13,R6,1,2,2mm,ambient,1.99,0.05,0.02512562814070352,0.1591820554534548
expt1,2014-06-16,12,13,R6,2,1,2mm,ambient,2.01,0.18,0.08955223880597016,0.30390947282621406
expt1,2014-06-16,12,13,R6,2,2,2mm,ambient,2.02,0.22,0.10891089108910891,0.3363210556850624
expt1,2014-06-16,12,13,R6,3,1,2mm,ambient,2.04,0.04,0.0196078431372549,0.14048970175352035
expt1,2014-06-16,12,13,R6,3,2,2mm,ambient,2.08,0.07,0.03365384615384616,0.18449471429048278
expt1,2014-06-16,12,13,R6,4,1,2mm,ambient,2.05,0.2,0.09756097560975611,0.3176631929822606
expt1,2014-06-16,12,13,R6,4,2,2mm,ambient,2.08,0.25,0.12019230769230768,0.35403739660347117
expt1,2014-11-12,18,17.9,R1,1,1,2mm,elevated,2.03,0.08,0.0394088669950739,0.199844233448252
expt1,2014-11-12,18,17.9,R1,1,2,2mm,elevated,2.03,0,0,0
expt1,2014-11-12,18,17.9,R1,2,1,2mm,elevated,2.02,0.05,0.024752475247524754,0.15798557954882572
expt1,2014-11-12,18,17.9,R1,2,2,2mm,elevated,2.02,0.08,0.039603960396039604,0.20034499602815234
expt1,2014-11-12,18,17.9,R1,3,1,2mm,elevated,2.02,0.06,0.0297029702970297,0.17321030230963247
expt1,2014-11-12,18,17.9,R1,3,2,2mm,elevated,2.05,0.18,0.0878048780487805,0.30083611976955843
expt1,2014-11-12,18,17.9,R1,4,1,2mm,elevated,2.05,0.25,0.12195121951219513,0.3567333885140938
expt1,2014-11-12,18,17.9,R1,4,2,2mm,elevated,2.02,0.01,0.0049504950495049506,0.07041793678320862
expt1,2014-11-12,18,17.9,R2,1,1,2mm,ambient,2.07,0.23,0.11111111111111112,0.339836909454122
expt1,2014-11-12,18,17.9,R2,1,2,2mm,ambient,2.08,0.36,0.17307692307692307,0.42906984938833487
expt1,2014-11-12,18,17.9,R2,2,1,2mm,ambient,2.08,0.08,0.038461538461538464,0.19739555984988078
