experiment,Date,Time,Months,Ring,Plot,Trt,prevTrt,psyllid,InitialMass.g,RemainingMass.g,propMassRem,propMassRem.trans
expt2,2017-12-18,4,3.8,R3,4,ambient,aCO2,noPsyl,1.96,1.39,0.7091836734693877,1.001221687619271
expt2,2017-12-18,4,3.8,R3,4,ambient,aCO2,Psyl,1.91,1.59,0.8324607329842932,1.1490924975479264
expt2,2017-12-18,4,3.8,R3,4,ambient,eCO2,noPsyl,1.98,1.55,0.7828282828282829,1.086012773430588
expt2,2017-12-18,4,3.8,R3,4,ambient,eCO2,Psyl,1.99,1.52,0.7638190954773869,1.0633070742618158
expt2,2017-12-18,4,3.8,R4,1,elevated,aCO2,noPsyl,1.99,1.63,0.8190954773869347,1.1314712579584887
expt2,2017-12-18,4,3.8,R4,1,elevated,aCO2,Psyl,1.99,1.39,0.6984924623115577,0.9895129041153972
expt2,2017-12-18,4,3.8,R4,1,elevated,eCO2,noPsyl,1.98,1.3,0.6565656565656566,0.9446423505559864
expt2,2017-12-18,4,3.8,R4,1,elevated,eCO2,Psyl,2,1.63,0.815,1.1261747691790067
expt2,2017-12-18,4,3.8,R4,2,elevated,aCO2,noPsyl,2.01,1.5,0.746268656716418,1.042899579242163
expt2,2017-12-18,4,3.8,R4,2,elevated,aCO2,Psyl,2.03,1.53,0.7536945812807883,1.0514742983387253
expt2,2017-12-18,4,3.8,R4,2,elevated,eCO2,noPsyl,2.04,1.65,0.8088235294117646,1.1182718359907367
expt2,2017-12-18,4,3.8,R4,2,elevated,eCO2,Psyl,2.01,1.46,0.7263681592039801,1.0203140640819233
expt2,2017-12-18,4,3.8,R4,3,elevated,aCO2,noPsyl,2.02,1.49,0.7376237623762376,1.0330208312703317
expt2,2017-12-18,4,3.8,R4,3,elevated,aCO2,Psyl,2.08,1.56,0.75,1.0471975511965976
expt2,2017-12-18,4,3.8,R4,3,elevated,eCO2,noPsyl,2,1.57,0.785,1.0886510910039917
expt2,2017-12-18,4,3.8,R4,3,elevated,eCO2,Psyl,1.99,1.6,0.8040201005025126,1.1121930125095651
expt2,2017-12-18,4,3.8,R4,4,elevated,aCO2,noPsyl,1.99,1.52,0.7638190954773869,1.0633070742618158
expt2,2017-12-18,4,3.8,R4,4,elevated,aCO2,Psyl,NA,NA,NA,NA
expt2,2017-12-18,4,3.8,R4,4,elevated,eCO2,noPsyl,1.97,1.37,0.6954314720812184,0.9861826292154708
expt2,2017-12-18,4,3.8,R4,4,elevated,eCO2,Psyl,2.07,1.61,0.7777777777777779,1.0799136485055856
expt2,2017-12-18,4,3.8,R5,1,elevated,aCO2,noPsyl,1.94,1.5,0.7731958762886598,1.0744231388307077
expt2,2017-12-18,4,3.8,R5,1,elevated,aCO2,Psyl,2.07,1.59,0.7681159420289856,1.0683814272372003
expt2,2017-12-18,4,3.8,R5,1,elevated,eCO2,noPsyl,2,1.28,0.64,0.9272952180016123
expt2,2017-12-18,4,3.8,R5,1,elevated,eCO2,Psyl,2.09,1.68,0.8038277511961722,1.1119507752960671
expt2,2017-12-18,4,3.8,R5,2,elevated,aCO2,noPsyl,2.05,1.71,0.8341463414634147,1.1513538234893268
expt2,2017-12-18,4,3.8,R5,2,elevated,aCO2,Psyl,1.94,1.6,0.8247422680412372,1.13885132970231
expt2,2017-12-18,4,3.8,R5,2,elevated,eCO2,noPsyl,2.02,1.55,0.7673267326732673,1.0674469775893634
expt2,2017-12-18,4,3.8,R5,2,elevated,eCO2,Psyl,1.99,1.52,0.7638190954773869,1.0633070742618158
